"","Barcode","block","g_alias","datePlant","dateMature","daysToMaturity","plantCount","hundredSeedWeight","podWseedWeight","seedWeight","meanSeedpPod","tenPodWeight","seedpPod1","seedpPod2","seedpPod3","seedpPod4","seedpPod5","seedpPod6","seedpPod7","seedpPod8","seedpPod9","seedpPod10","genotype","soilSample"
"319","191_5","3","VI002173AG",2022-10-06,"12/26/2022",81,20,3.97,200,114,12.6,6.48,12,12,12,15,14,13,12,13,10,13,"MMC109","Wn2"
"320","57_1","2","VI002173BG",2022-10-06,"12/19/2022",74,20,3.96,228,120,12,5.98,15,12,13,13,10,13,8,13,12,11,"MMC110","Ws1"
"321","59_5","3","VI002173BG",2022-10-06,"12/19/2022",74,20,3.84,206,114,12.7,6.5,13,11,12,15,12,14,12,13,13,12,"MMC110","Ws1"
"322","97_3","1","VI002173BG",2022-10-06,"12/23/2022",78,20,3.9,232,142,13,6.18,13,14,14,12,12,12,12,15,13,13,"MMC110","Em1"
"323","143_1","3","VI002176AG",2022-10-06,"12/21/2022",76,20,3.94,280,176,12.7,6.81,11,11,12,13,14,14,14,12,13,13,"MMC111","Wn2"
"324","69_4","1","VI002176AG",2022-10-06,"12/16/2022",71,20,3.99,208,136,12.7,6.86,14,13,15,11,12,15,12,12,11,12,"MMC111","Em2"
"325","34_2","1","VI002176BG",2022-10-06,"12/14/2022",69,20,4.02,318,214,12.5,6.57,15,12,14,12,13,10,14,13,10,12,"MMC112","Es1"
"326","62_5","3","VI002176BG",2022-10-06,"12/19/2022",74,20,3.95,234,156,12,6.05,13,10,13,14,12,12,10,12,11,13,"MMC112","Ws2"
"327","157_3","3","VI002190BG",2022-10-06,"12/26/2022",81,20,4.97,274,182,13,8.63,15,12,13,13,13,14,12,13,14,11,"MMC113","Wn2"
"328","67_2","1","VI002190BG",2022-10-06,"12/21/2022",76,20,5.08,300,176,14.5,8.59,14,15,16,16,14,13,15,14,16,12,"MMC113","Em1"
"329","73_2","2","VI002190BG",2022-10-06,"12/19/2022",74,15,4.83,216,138,12.2,8.79,12,13,10,13,13,12,13,13,11,12,"MMC113","Wm1"
"330","172_3","3","VI002195AG",2022-10-06,"12/19/2022",74,20,6.47,268,176,10.9,10.2,9,10,12,12,11,11,11,12,9,12,"MMC114","Wn1"
"331","182_1","2","VI002195AG",2022-10-06,"12/19/2022",74,20,6.33,230,144,12.6,10.64,13,14,11,13,12,12,14,12,13,12,"MMC114","En2"
"332","5_2","1","VI002195AG",2022-10-06,"12/16/2022",71,13,6.45,124,60,11.7,9.4,11,13,12,12,14,10,11,12,12,10,"MMC114","Es2"
"333","13_4","3","VI002197BG",2022-10-06,"12/28/2022",83,20,4.45,210,128,11.8,8.63,12,12,11,12,10,11,13,13,13,11,"MMC115","Ws2"
"334","183_2","2","VI002197BG",2022-10-06,"12/26/2022",81,20,4.9,234,140,13.1,8.86,13,13,14,14,11,12,15,13,12,14,"MMC115","En2"
"335","34_3","1","VI002197BG",2022-10-06,"12/21/2022",76,13,4.75,214,124,13.4,8.22,12,14,13,13,13,14,13,14,15,13,"MMC115","Es1"
"336","122_5","2","VI002206AG",2022-10-06,"12/23/2022",78,20,5.91,230,136,12.5,9.61,13,13,14,13,13,11,12,12,13,11,"MMC116","Wm1"
"337","77_2","3","VI002206AG",2022-10-06,"12/23/2022",78,14,5.07,198,120,12.2,9.3,12,14,11,13,12,12,12,11,12,13,"MMC116","Wm2"
"338","98_1","1","VI002206AG",2022-10-06,"12/21/2022",76,20,5.77,336,214,12.4,10.05,13,13,11,13,12,13,12,11,13,13,"MMC116","Em1"
"339","125_2","3","VI002239AG",2022-10-06,"12/19/2022",74,20,4.05,194,124,12.1,6.48,12,12,12,13,10,13,12,14,12,11,"MMC117","Wm2"
"340","3_3","1","VI002239AG",2022-10-06,"12/14/2022",69,20,4.09,144,76,10.6,5.5,11,10,10,12,10,9,12,11,11,10,"MMC117","Es1"
"341","40_3","2","VI002239AG",2022-10-06,"12/14/2022",69,20,4.12,224,122,11.5,6.43,14,11,12,12,11,12,10,11,10,12,"MMC117","Es2"
"342","156_3","3","VI002284BG",2022-10-06,"12/21/2022",76,16,4.24,192,122,11.8,6.55,12,13,12,12,11,12,13,10,10,13,"MMC118","Wn1"
"343","19_1","1","VI002284BG",2022-10-06,"12/28/2022",83,13,3.98,112,64,11.3,5.7,12,10,12,12,12,11,10,12,10,12,"MMC118","Es1"
"344","41_1","2","VI002284BG",2022-10-06,"12/19/2022",74,11,4.11,156,70,11.2,5.87,12,12,11,11,11,11,12,11,11,10,"MMC118","Ws1"
"345","156_4","3","VI002402BG",2022-10-06,"12/26/2022",81,20,4.85,222,124,12.5,9.38,12,12,12,14,14,13,13,9,12,14,"MMC119","Wn1"
"346","67_4","1","VI002402BG",2022-10-06,"12/19/2022",74,20,4.92,308,192,12.4,9.6,12,13,10,12,13,12,14,13,13,12,"MMC119","Em1"
"347","74_3","2","VI002402BG",2022-10-06,"12/19/2022",74,12,5.19,268,174,12.9,8.97,14,12,14,14,11,11,13,14,13,13,"MMC119","Wm1"
"348","184_4","2","VI002432AG",2022-10-06,"12/26/2022",81,20,5.99,162,94,12.2,9.72,12,12,14,12,11,12,12,13,13,11,"MMC120","En2"
"349","19_3","1","VI002432AG",2022-10-06,"12/14/2022",69,20,5.9,156,90,12.1,9.39,13,14,11,11,12,13,14,11,11,11,"MMC120","Es1"
"350","29_1","3","VI002432AG",2022-10-06,"12/23/2022",78,14,6.06,148,82,11.5,9.85,11,10,10,12,13,13,12,13,10,11,"MMC120","Ws2"
"351","189_4","3","VI002437BG",2022-10-06,"12/26/2022",81,20,3.81,230,140,12.9,11.15,14,14,12,12,13,14,13,11,12,14,"MMC121","Wn2"
"352","5_3","1","VI002437BG",2022-10-06,"12/12/2022",67,13,3.88,212,150,11.9,6.48,12,12,12,11,11,13,13,12,12,11,"MMC121","Es2"
"353","39_5","2","VI002456AG",2022-10-06,"12/19/2022",74,16,5.73,180,102,14.7,10.79,15,16,16,13,10,13,14,13,19,18,"MMC122","Es2"
"354","43_2","3","VI002456AG",2022-10-06,"12/19/2022",74,13,5.37,206,114,12.1,10.34,13,12,11,11,10,14,12,12,13,13,"MMC122","Ws1"
"355","52_4","1","VI002456AG",2022-10-06,"12/19/2022",74,11,5.97,108,64,12.8,11.71,12,15,16,15,10,10,12,11,14,13,"MMC122","Es1"
"356","4_5","1","VI002469AG",2022-10-06,"12/19/2022",74,20,4.77,282,160,11.9,7.69,11,12,11,12,12,13,12,12,12,12,"MMC123","Es1"
"357","58_5","2","VI002469AG",2022-10-06,"12/23/2022",78,17,4.98,276,166,11.2,6.39,10,12,11,12,9,10,12,12,12,12,"MMC123","Ws1"
"358","141_5","3","VI002487AG",2022-10-06,"12/29/2022",84,20,3.57,160,78,13.9,6.99,16,14,13,14,14,13,15,12,15,13,"MMC124","Wn2"
"359","179_3","1","VI002487AG",2022-10-06,"12/26/2022",81,14,3.7,134,58,13.3,6.2,14,12,14,14,14,14,14,11,13,13,"MMC124","En1"
"360","72_2","2","VI002487AG",2022-10-06,"12/28/2022",83,20,3.66,138,64,13.3,6.48,14,15,14,13,13,13,12,12,13,14,"MMC124","Em2"
"361","159_4","3","VI002523AG",2022-10-06,"12/16/2022",71,20,5.93,326,210,12.2,10.1,13,14,14,11,12,12,11,10,11,14,"MMC125","Wn2"
"362","33_3","1","VI002523AG",2022-10-06,"12/23/2022",78,20,5.68,110,54,12.6,8.88,13,9,13,13,14,15,13,12,11,13,"MMC125","Es1"
"363","41_3","2","VI002523AG",2022-10-06,"12/14/2022",69,17,5.78,104,58,12.6,9.76,13,10,11,12,14,14,14,10,14,14,"MMC125","Ws1"
"364","14_5","3","VI002532AG",2022-10-06,"12/19/2022",74,16,4.75,248,134,12.3,8.13,12,14,10,13,10,14,13,14,11,12,"MMC126","Ws2"
"365","148_5","1","VI002532AG",2022-10-06,"12/26/2022",81,20,5.03,148,84,12.4,8.55,13,12,12,13,12,12,11,12,14,13,"MMC126","En1"
"366","23_3","2","VI002532AG",2022-10-06,"12/19/2022",74,20,4.92,170,106,12.6,8.42,13,13,14,12,12,13,13,13,11,12,"MMC126","Es2"
"367","175_1","3","VI002537AG",2022-10-06,"12/21/2022",76,20,4.62,248,145,12.7,8.41,13,13,13,13,12,13,13,13,12,12,"MMC127","Wn2"
"368","5_5","1","VI002537AG",2022-10-06,"12/19/2022",74,10,4.65,66,42,12.5,8.47,12,13,11,12,14,13,11,13,13,13,"MMC127","Es2"
"369","22_1","2","VI002569BG",2022-10-06,"12/21/2022",76,13,5.43,150,88,13.6,9.32,13,15,15,12,11,11,15,16,15,13,"MMC128","Es2"
"370","94_1","3","VI002569BG",2022-10-06,"12/23/2022",78,16,5.41,220,134,13.1,10.5,14,13,14,14,12,12,13,14,11,14,"MMC128","Wm2"
"371","130_1","1","VI002587AG",2022-10-06,"12/26/2022",81,20,6.85,314,206,13.3,13.37,12,14,14,14,13,13,12,13,13,15,"MMC129","En1"
"372","77_1","3","VI002587AG",2022-10-06,"12/14/2022",69,11,6.33,418,296,12.9,12.9,12,13,13,13,14,12,13,12,14,13,"MMC129","Wm2"
"373","140_4","3","VI002611AG",2022-10-06,"12/26/2022",81,20,6.02,156,96,12.7,11.13,12,12,13,12,12,13,13,13,13,14,"MMC130","Wn1"
"374","163_2","1","VI002611AG",2022-10-06,"12/26/2022",81,20,6,148,76,12.3,10.59,12,13,13,14,11,11,12,11,12,14,"MMC130","En1"
"375","139_5","3","VI002646AG",2022-10-06,"12/29/2022",84,20,6.02,204,134,13.5,11.77,12,14,15,13,15,12,14,13,13,14,"MMC131","Wn1"
"376","36_3","1","VI002646AG",2022-10-06,"12/21/2022",76,20,5.97,264,162,13.4,10.21,14,12,14,16,14,13,14,12,13,12,"MMC131","Es1"
